Rank,Artist Name,WF Score,Country,Type,Genre Tags,Primary Language,English Ratio,Last.fm Listeners,Last.fm Plays,Size Category,Estimated Tracks,Albums,EPs,Singles,Latest Release Date,Active Since,Score: Popularity,Score: English,Score: Tracks,Score: Active,Score: Genre,Score: Country,MusicBrainz ID,Last.fm URL,Status
1,Bloodred Hourglass,98,Finland,Group,"groove metal, metal, melodic death metal, thrash metal",eng,100%,55357,2098892,wf_sweet_spot,104,7,4,14,2025-10-03,2005,25,20,15,15,15,8,42004a2e-4066-4556-ba62-f88b9753f93d,https://www.last.fm/music/Bloodred+Hourglass,
2,Cats of Transnistria,98,Finland,Group,"dream pop, ambient pop",eng,100%,5831,38162,wf_sweet_spot,47,4,1,2,2025-03-21,2014,25,20,15,15,15,8,43473c7e-9920-4175-931a-255966a74007,https://www.last.fm/music/Cats+of+Transnistria,
3,Fanu,98,Finland,Person,"breaks, drum and bass",eng,91%,40245,734425,wf_sweet_spot,190,13,12,0,2025-05-02,1980,25,20,15,15,15,8,cdd61981-4dda-4990-aaa4-37c96fe30aa8,https://www.last.fm/music/Fanu,
4,Forces,98,Finland,Person,"experimental, electronic",eng,100%,6308,46888,wf_sweet_spot,75,7,1,0,2025-07-18,,25,20,15,15,15,8,ccd36e20-4fa4-4b2e-b2d1-97bd29e9e99f,https://www.last.fm/music/Forces,
5,Goatmoon,98,Finland,Group,"nsbm, black metal, metal",eng,82%,21154,1879892,wf_sweet_spot,195,14,11,0,2025-06-17,2002,25,20,15,15,15,8,4331da4f-052e-42b1-aba9-e69ebeb328ee,https://www.last.fm/music/Goatmoon,
6,Goldielocks,98,Finland,Person,"pop, synth-pop, suomi pop, umk 2025",eng,100%,27783,460916,wf_sweet_spot,27,1,1,12,2025-10-24,2001,25,20,15,15,15,8,441f8d9e-3d21-41fd-8e41-c1330ed7815b,https://www.last.fm/music/Goldielocks,
7,Hanging Garden,98,Finland,Group,"metal, gothic metal, doom metal, death-doom metal",eng,100%,82390,1685958,wf_sweet_spot,138,9,8,8,2026-03-20,2004,25,20,15,15,15,8,2920ec0c-96fb-41de-bde9-a692908ffd92,https://www.last.fm/music/Hanging+Garden,
8,Hexvessel,98,Finland,Group,"black metal, folk rock, psychedelic rock, psychedelic folk, avant-garde black metal, ritual folk psychedelia",eng,100%,75712,2213982,wf_sweet_spot,109,8,3,14,2025-06-13,2009,25,20,15,15,15,8,a7ee612d-1f9b-4446-8765-9d178ead346c,https://www.last.fm/music/Hexvessel,
9,Horizon Ignited,98,Finland,Group,"melodic death metal, metalcore",eng,100%,34427,542561,wf_sweet_spot,34,3,0,4,2026-03-06,2017,25,20,15,15,15,8,c8189cda-1da8-4c99-99b9-7649786c5e97,https://www.last.fm/music/Horizon+Ignited,
10,Jolly Jumpers,98,Finland,Group,"rock, garage rock, alternative country",eng,86%,20217,143390,wf_sweet_spot,70,7,0,0,2025-03-21,1980,25,20,15,15,15,8,0c88b21f-4a23-4949-8613-277589d38530,https://www.last.fm/music/Jolly+Jumpers,
